Column1,Column2,Column3
0.32,64.17,0
-0.84,61.35,1
0.66,62.73,1
1.92,66.48,1
2.34,70.46,1
1.27,72.41,1
0.7,75.16,0
-0.21,74.15,1
0.82,75.53,1
2.7,79.47,0
-0.62,76.33,0
-2.56,65.07,1
1.27,67.55,0
-1.5,61.85,1
0.49,62.93,1
0.21,63.41,0
-0.63,60.84,0
-1.66,54.64,1
0.15,55.08,1
0.43,56.37,0
-2.07,48.97,0
-1.82,43.64,1
1.81,49.41,0
-0.69,47.38,1
1.1,50.82,1
1.67,55.63,1
1.13,58.61,0
-0.76,55.87,0
-1.25,51.58,1
1.04,54.65,0
-0.41,53.21,0
-2.61,45.06,1
0.7,47.32,0
-0.8,45.02,1
2.53,52.79,0
-1.54,48.23,0
-0.14,47.82,1
-1.05,51.75,0
-0.33,50.68,1
0.76,53.12,1
0.43,54.48,0
-0.2,53.7,0
-0.43,51.94,1
0.38,53.38,0
-0.48,51.28,0
-1.13,46.69,1
2.28,55.34,0
-0.54,53.09,1
1.35,57.67,1
0.82,60.24,1
0.47,61.7,1
1.82,66.78,0
-1.58,59.3,0
-1.47,53.39,0
-2.71,44.67,1
3.04,53.56,0
-0.19,52.96,0
-2.25,46.43,0
-0.63,44.81,1
0.2,45.46,1
1.88,51.28,0
-1.02,48.23,0
-0.36,47.18,1
0.11,47.56,1
2.33,54.93,0
-0.14,54.42,1
1.1,57.72,0
-0.09,57.34,0
-0.01,57.31,1
1.02,60.62,1
1.87,59.11,0
-0.2,58.28,0
-1.14,53.65,1
0.2,54.33,0
-0.44,52.49,1
0.12,52.96,0
-0.58,50.39,0
-0.55,48.04,0
-0.66,45.32,0
-0.3,44.11,1
1.15,49.65,0
-0.23,48.62,0
-1.1,43.82,0
-0.2,43.02,1
0.54,45.93,0
-0.24,44.84,1
0.46,47.43,0
-1,42.67,1
0.8,47.17,0
-0.45,44.99,1
0.85,49.67,0
-0.48,47.22,0
-0.59,44.34,0
-1.75,37.1,1
0.72,41.29,1
0.93,46.29,0
-0.25,42.94,0
-2.48,33.46,0
-2.04,28.11,1
2.67,41.13,1
1.93,48.57,0
-0.04,48.43,1
0.96,52,1
1.33,56.52,1
0.86,59.24,1
1.89,64.51,0
-1,60.01,0
-4.23,45.64,0
-0.05,45.51,0
-0.53,44.05,0
-1.39,40.4,1
0.5,42.22,0
-0.32,41.35,0
-0.5,39.95,0
-0.87,37.57,0
-2.36,32.08,0
-3.21,26.53,1
0.66,29.17,0
-0.23,28.78,1
0.34,30.25,1
3.64,43.72,0
-5.2,33.41,1
1.54,37.85,0
-0.08,37.71,1
0.7,39.85,1
1.03,42.98,0
-0.56,41.69,0
-1.28,38.87,0
-2.05,34.84,0
-6.12,26.28,0
-2.5,23.86,1
0.6,25.6,1
5.74,39.76,1
2.94,45.79,1
0.33,46.45,0
-0.47,45.59,0
-4.47,38.34,1
4.29,46.71,0
-1.75,43.97,0
-1.92,44.62,1
2.2,48.7,1
1.46,51.31,1
0.96,53.04,1
0.84,54.57,1
0.11,54.79,0
-2.14,49.96,0
-0.41,49.08,1
1.55,52.45,0
-1.57,48.87,1
0.81,50.71,1
0.59,52.09,0
-0.25,51.43,0
-1.98,46.47,0
-3.01,40.25,1
1.14,43.25,0
-0.65,41.93,1
0.73,43.97,1
0.36,45.01,1
0.48,46.44,0
-0.48,45.18,0
-1.16,42.21,1
2.39,49.53,0
-0.46,48.22,1
0.17,48.75,0
-1.41,44.65,1
