pp,Result
-0.009930317633226817,1
-0.0003764920369267902,1
-0.0007437244263391494,1
0.008608011483668106,0
-0.002139110764714763,1
5.24037397764819e-05,1
0.011644053107952563,1
0.0012510298983327284,0
-0.0053603482181307826,1
-0.006674260954115264,1
0.0019009062716508665,1
0.0011320602336467303,1
0.001724283160879153,0
-0.000474752163846044,0
0.0006230335713162325,1
0.002072614908419198,0
0.0020326642539772034,0
-0.006827423976043783,0
0.011062597773722687,0
0.010015248890935989,0
0.0029660119617228612,1
0.0025501639134386284,1
-0.006350240719061378,1
-0.005451559771646284,1
0.0014184351859338458,0
-0.0017011886035011063,1
-0.00757488500910799,1
-0.0017196461905944454,1
-0.010152275130760833,1
-0.0008916713539792958,0
0.0039486136749884646,0
0.003816106094901919,0
0.0032882048261306074,0
0.005776938968158666,0
-0.0006679679388817564,0
3.371600437771072e-05,0
0.008056950041781728,0
0.008661266568981975,0
0.0054546456006377446,0
-0.05668880857103813,1
-0.05551203908941937,1
-0.05648269683959538,1
-0.0568756973200656,1
-0.05934729420331568,1
-0.0558241312092842,1
-0.053161199736418675,1
-0.054193770001427895,1
-0.054383293132664046,1
-0.053391481643392275,1
0.0007571914299385765,1
0.0018283449039809886,1
0.0031466484306987533,1
0.006167939729438858,0
0.007047966187964425,1
0.0010728648324185228,1
0.002353002185618818,0
0.00131299381494584,1
0.0023363571223934594,0
0.003044087639557923,0
0.004282783231834327,0
0.004070922623420593,0
0.00044125645300381545,1
-0.001351832838929335,1
0.00023895850242396593,1
0.002121348868121589,1
-0.0003167946616911,1
0.0006629708887127947,1
-0.0006049040942029545,1
-0.00044327866274089436,1
-0.0017433380041362526,1
-0.0008468047784527705,1
0.002423067076804083,1
0.003657681757626444,1
0.004102912564340967,0
0.001747060906747838,1
0.001911649907532483,1
0.0028741002962813945,1
0.00268075463136538,1
0.0012732359920451766,1
0.0022722284736804966,1
0.0030135706313586157,1
0.0034993843114292703,0
0.002055581828645881,1
-0.0010289802985207913,0
0.0006177472345433863,0
0.0002875005583284915,0
0.0012981244852537696,0
